run,region,layer,chamber,status,total,passed,eff,eff_low,eff_up
342810,1,2,32,1,661,472,0.7140695915279879,0.6954014220264585,0.7320622251573177
342810,1,2,33,1,324,285,0.8796296296296297,0.8587347528462351,0.8979837017708003
342810,1,2,34,1,412,304,0.7378640776699029,0.7143843190981609,0.7601252859744342
342810,1,2,35,1,197,168,0.8527918781725888,0.8230633779447009,0.8785879310063534
342810,1,2,36,1,340,273,0.8029411764705883,0.7789574338022737,0.8250232861463858
342810,1,1,1,1,176,149,0.8465909090909091,0.8144457840531585,0.8743976478784469
342810,1,1,2,0,274,0,0.0,0.0,0.0
342810,1,1,3,1,188,164,0.8723404255319149,0.8431622192495671,0.8971358113122604
342810,1,1,4,1,271,214,0.7896678966789668,0.7619410038449478,0.8151010551997749
342810,1,1,5,1,335,288,0.8597014925373134,0.8380777457278047,0.8790111205959119
342810,1,1,6,1,666,550,0.8258258258258259,0.8098622384118197,0.840761027977362
342810,1,1,7,1,479,305,0.6367432150313153,0.6134356947182434,0.6594529328373768
342810,1,1,8,1,563,489,0.8685612788632326,0.8527330888797716,0.8829988257041577
342810,1,1,9,1,500,412,0.824,0.8052833888078803,0.8413450170539563
342810,1,1,10,1,853,734,0.8604923798358733,0.8475945929896521,0.8725030255670473
342810,1,1,11,1,371,219,0.5902964959568733,0.5631818542557806,0.6168991034723692
342810,1,1,12,1,197,164,0.8324873096446701,0.8015274851328813,0.8597583590515501
342810,1,1,13,2,347,80,0.0,0.0,0.0
342810,1,1,14,0,372,0,0.0,0.0,0.0
342810,1,1,15,1,188,134,0.7127659574468085,0.6759550014754767,0.7471372433762986
342810,1,1,16,1,199,118,0.592964824120603,0.5552025791435221,0.6297277055729702
342810,1,1,17,1,80,55,0.6875,0.6271575287802293,0.742628377989311
342810,1,1,18,1,111,93,0.8378378378378378,0.7950209174161973,0.8738185494377657
342810,1,1,19,1,123,93,0.7560975609756098,0.711151291843234,0.7964627868118979
342810,1,1,20,1,147,113,0.7687074829931972,0.7286169993190276,0.8047986636848282
342810,1,1,21,1,133,69,0.518796992481203,0.4717236576335095,0.5655643699336557
342810,1,1,22,1,361,295,0.817174515235457,0.7945150405387027,0.8379587664424244
342810,1,1,23,2,345,134,0.0,0.0,0.0
342810,1,1,24,1,717,554,0.7726638772663877,0.7559160928785086,0.788617207052222
342810,1,1,25,1,577,468,0.8110918544194108,0.7933611999421232,0.8276870906016411
342810,1,1,26,1,969,478,0.4932920536635707,0.4767208612144064,0.50987753902707
342810,1,1,27,1,774,642,0.8294573643410853,0.8148428483825848,0.8431798211652382
342810,1,1,28,1,1344,1012,0.7529761904761905,0.7406418723543386,0.7649219952890061
342810,1,1,29,1,742,622,0.8382749326145552,0.8236017025838399,0.8519908718381861
342810,1,1,30,1,949,698,0.7355110642781876,0.7204068977638689,0.7501005240343916
342810,1,1,31,1,505,424,0.8396039603960396,0.8215692964439217,0.856212609612653
342810,1,1,32,1,644,404,0.6273291925465838,0.607296983419914,0.6469499033099925
342810,1,1,33,1,327,286,0.8746177370030581,0.8535333835239647,0.8932220725819772
342810,1,1,34,1,400,281,0.7025,0.6778719175582293,0.7260609728823098
342810,1,1,35,1,198,167,0.8434343434343434,0.8132079964659578,0.8698613705169687
342810,1,1,36,1,339,279,0.8230088495575221,0.7997925693042169,0.8441858647177065
342810,-1,1,1,1,107,40,0.37383177570093457,0.323900113336137,0.4263437681710315
342810,-1,1,2,1,130,107,0.823076923076923,0.7830803851813449,0.8575547472527625
342810,-1,1,3,1,167,114,0.6826347305389222,0.642534268335684,0.7203732096885715
342810,-1,1,4,1,344,275,0.7994186046511628,0.775457232599222,0.8215237454445887
342810,-1,1,5,1,254,134,0.5275590551181102,0.49419969684509246,0.5606881573410679
342810,-1,1,6,1,538,415,0.7713754646840149,0.7518130642450862,0.789877559078592
